treatment_id,start_supergame,end_supergame,num_periods,treatment,gamma,joint_payoff_info,relative_payoff_info,population_size,initial_confidence_lower,initial_confidence_upper,mseconds_per_period,max_adjustment
1,1,60,8,Gamma0,1.0,True,True,8,0.6,1.6,4000,100
2,61,120,8,Gamma1,1.0,True,True,8,0.6,1.6,4000,100
